gene,rna_lfc,rna_p,prot_lfc,prot_p,mut_freq,neglog10p,concordant,transcriptomic,proteomic,genomic,score
COL11A1,2.787324725377756,5.684449124463513e-06,1.4480511803650202,4.302139206902014e-29,0.02857142857142857,1.2631321245564464,True,2.787324725377756,1.4480511803650202,1.2631321245564464,0.9842022116903633
MUC5B,2.0713217999301357,5.008643126542491e-06,1.224256091298198,8.306295514968175e-18,0.04285714285714286,2.499001158180372,True,2.0713217999301357,1.224256091298198,2.499001158180372,0.9763691416535017
TNS4,4.351477666744719,3.304187774142202e-10,1.23397634132062,8.598678157831274e-22,0.02142857142857143,0.7707690936040651,True,4.351477666744719,1.23397634132062,0.7707690936040651,0.9750526592943654
ERBB4,-2.5652611466473534,3.7901423242786586e-15,1.3286040730398554,0.00973519488821562,0.02142857142857143,0.7707690936040651,False,2.5652611466473534,1.3286040730398554,0.7707690936040651,0.9729462875197472
PLIN4,-3.0682175270842516,1.254984423517219e-07,-1.1971686299824924,3.684042962582698e-08,0.02142857142857143,0.7707690936040651,True,3.0682175270842516,1.1971686299824924,0.7707690936040651,0.9725513428120063
MUC16,3.1622462575101444,1.3002203746919688e-06,0.9222155352843622,1.512536750623843e-08,0.07857142857142857,6.635659953505452,True,3.1622462575101444,0.9222155352843622,6.635659953505452,0.9714323328067405
FN1,1.826157302620583,9.992815059425892e-06,1.2632892017803705,1.4850670473104206e-32,0.02857142857142857,1.2631321245564464,True,1.826157302620583,1.2632892017803705,1.2631321245564464,0.9714323328067402
POSTN,1.7431415054990875,0.0005037924845168036,1.3531902594416607,1.520683993800591e-29,0.02857142857142857,1.2631321245564464,True,1.7431415054990875,1.3531902594416607,1.2631321245564464,0.971169036334913
NOS1,-1.9157871045783148,4.607874971497398e-06,-1.252301936436833,1.5292371829857664e-05,0.02142857142857143,0.7707690936040651,True,1.9157871045783148,1.252301936436833,0.7707690936040651,0.9647840968931016
MUC5AC,3.7508089458272416,0.000866064641409168,0.8148578819347563,8.955681373378611e-08,0.05,3.220427308632819,True,3.7508089458272416,0.8148578819347563,3.220427308632819,0.9617561874670879
CEL,-6.0928994503772635,4.0572854031152e-06,-2.7116748420430845,4.6806538434612884e-23,0.014285714285714285,0.3827710261184941,True,6.0928994503772635,2.7116748420430845,0.3827710261184941,0.9535939968404423
BRSK2,-2.975514587975833,3.588560100875703e-07,-1.8065375329681608,4.242798021412745e-20,0.014285714285714285,0.3827710261184941,True,2.975514587975833,1.8065375329681608,0.3827710261184941,0.9484597156398102
MAT1A,-2.8319768275592816,3.150538710624438e-06,-1.966331910497324,9.42715339715714e-21,0.014285714285714285,0.3827710261184941,True,2.8319768275592816,1.966331910497324,0.3827710261184941,0.9483280674038967
KRT6A,5.211624352979394,6.144578516076576e-10,1.464940531279833,9.940790166897238e-16,0.014285714285714285,0.3827710261184941,True,5.211624352979394,1.464940531279833,0.3827710261184941,0.9478014744602421
FRAS1,-1.2407721317109957,0.00019152461785149777,-1.1552926489009891,1.2296674162136255e-20,0.02142857142857143,0.7707690936040651,True,1.2407721317109957,1.1552926489009891,0.7707690936040651,0.9451685097419693
CFTR,-2.360281723160208,3.33260526399097e-05,-1.6476565870301663,1.3194498627614653e-29,0.014285714285714285,0.3827710261184941,True,2.360281723160208,1.6476565870301663,0.3827710261184941,0.942798841495524
MUC4,3.464218057317212,1.479241970226256e-08,0.6425901813641097,1.2396609143305393e-05,0.1,9.637040785787327,True,3.464218057317212,0.6425901813641097,9.637040785787327,0.9420747761979988
PKHD1L1,-1.6691657830558135,4.251717168723196e-09,-3.6776701638241374,0.2280481035270945,0.014285714285714285,0.3827710261184941,True,1.6691657830558135,3.6776701638241374,0.3827710261184941,0.9380595050026328
CLIC3,2.416441784256717,2.634586175364659e-09,1.2602757632720945,3.7608118767255944e-26,0.014285714285714285,0.3827710261184941,True,2.416441784256717,1.2602757632720945,0.3827710261184941,0.9376645602948921
KRT19,2.3836057961736437,1.7038932999304134e-09,1.2168920108249495,8.651864826062562e-40,0.014285714285714285,0.3827710261184941,True,2.3836057961736437,1.2168920108249495,0.3827710261184941,0.9359531332280147
AHNAK2,2.428812209340972,3.51602823289351e-12,1.157434795057405,3.077332720353397e-38,0.014285714285714285,0.3827710261184941,True,2.428812209340972,1.157434795057405,0.3827710261184941,0.9345050026329647
PTPRS,-1.5040527375371404,2.5056463975270947e-11,-0.8258729024716303,2.0964724614063898e-27,0.02142857142857143,0.7707690936040651,True,1.5040527375371404,0.8258729024716303,0.7707690936040651,0.9334518167456556
SULF1,1.656265252695528,5.066040929369323e-05,1.6165312650558654,1.7829251018786568e-35,0.014285714285714285,0.3827710261184941,True,1.656265252695528,1.6165312650558654,0.3827710261184941,0.9334518167456556
COL5A1,0.8078403493669715,0.0022406307633633846,1.2383590237432323,2.32013406432522e-23,0.02857142857142857,1.2631321245564464,True,0.8078403493669715,1.2383590237432323,1.2631321245564464,0.9287783043707214
NCAM1,-1.8566835198494385,3.710726188461524e-08,-0.7014240739518662,1.6616935667605902e-13,0.02142857142857143,0.7707690936040651,True,1.8566835198494385,0.7014240739518662,0.7707690936040651,0.9276592943654554
IGFBP2,-1.5068523392493542,0.0007810482296938978,-1.3865390276248668,1.1336901387893342e-25,0.014285714285714285,0.3827710261184941,True,1.5068523392493542,1.3865390276248668,0.3827710261184941,0.9273959978936281
FHL2,1.449230797999281,5.287080004644722e-07,1.4913592084953606,4.733143679377185e-34,0.014285714285714285,0.3827710261184941,True,1.449230797999281,1.4913592084953606,0.3827710261184941,0.9271327014218009
COL6A6,-0.905197038385805,1.40384180993817e-05,-1.0100097245471567,5.4998623989735564e-14,0.02857142857142857,1.2631321245564464,True,0.905197038385805,1.0100097245471567,1.2631321245564464,0.9262769878883623
NTRK2,-2.36588765855965,1.2890032579691504e-15,-0.9715074812720736,1.0860202249340933e-10,0.014285714285714285,0.3827710261184941,True,2.36588765855965,0.9715074812720736,0.3827710261184941,0.9248946814112691
